,CR Lhx5,Meis2 Adamts19,L5 PT VISp Chrna6,L5 PT ALM Slco2a1,L5 PT ALM Npsr1,L5 PT ALM Hpgd,L5 PT VISp Krt80,L5 PT VISp C1ql2 Cdh13,L5 PT VISp C1ql2 Ptgfr,L5 PT VISp Lgr5,L6 IT VISp Car3,L6 IT VISp Col23a1 Adamts2,L6 IT VISp Col18a1,L6 IT VISp Penk Col27a1,L6 IT VISp Penk Fst,L5 IT VISp Whrn Tox2,L5 IT VISp Hsd11b1 Endou,L5 IT VISp Col27a1,L5 IT VISp Batf3,L5 IT VISp Col6a1 Fezf2,L6 IT ALM Tgfb1,L6 IT ALM Oprk1,L5 IT ALM Gkn1 Pcdh19,L5 IT ALM Cpa6 Gpr88,L5 IT ALM Tmem163 Arhgap25,L5 IT ALM Tnc,L5 IT ALM Tmem163 Dmrtb1,L5 IT ALM Pld5,L5 IT ALM Lypd1 Gpr88,L5 IT ALM Cbln4 Fezf2,L4 IT VISp Rspo1,L2/3 IT VISp Rrad,L2/3 IT VISp Agmat,L2/3 IT VISp Adamts2,L2/3 IT ALM Sla,L2/3 IT ALM Ptrf,L5 IT ALM Npw,L2/3 IT ALM Macc1 Lrg1,L6 NP ALM Trh,L5 NP VISp Trhr Cpne7,L5 NP ALM Trhr Nefl,L5 NP VISp Trhr Met,L6 CT VISp Nxph2 Wls,L6 CT ALM Nxph2 Sla,L6 CT ALM Cpa6,L6 CT VISp Krt80 Sla,L6 CT VISp Gpr139,L6 CT VISp Ctxn3 Sla,L6 CT VISp Ctxn3 Brinp3,L6b VISp Col8a1 Rprm,L6b VISp Crh,L6b ALM Olfr111 Spon1,L6b VISp Mup5,L6b VISp Col8a1 Rxfp1,L6b Hsd17b2,L6b ALM Olfr111 Nxph1,L6b P2ry12,Vip Igfbp6 Pltp,Vip Igfbp6 Car10,Vip Igfbp4 Mab21l1,Vip Lect1 Oxtr,Vip Rspo1 Itga4,Vip Rspo4 Rxfp1 Chat,Vip Lmo1 Myl1,Vip Lmo1 Fam159b,Vip Pygm C1ql1,Vip Ptprt Pkp2,Vip Arhgap36 Hmcn1,Vip Gpc3 Slc18a3,Serpinf1 Aqp5 Vip,Vip Col15a1 Pde1a,Vip Crispld2 Kcne4,Vip Crispld2 Htr2c,Vip Chat Htr1f,Lamp5 Ntn1 Npy2r,Lamp5 Fam19a1 Pax6,Lamp5 Fam19a1 Tmem182,Lamp5 Lhx6,Lamp5 Lsp1,Lamp5 Plch2 Dock5,Lamp5 Krt73,Serpinf1 Clrn1,Sncg Slc17a8,Sncg Gpr50,Sncg Vip Itih5,Sncg Vip Nptx2,Sst Chodl,Pvalb Th Sst,Pvalb Calb1 Sst,Pvalb Reln Tac1,Pvalb Tpbg,Pvalb Reln Itm2a,Pvalb Gpr149 Islr,Pvalb Sema3e Kank4,Pvalb Akr1c18 Ntf3,Pvalb Gabrg1,Pvalb Vipr2,Sst Tac1 Tacr3,Sst Nts,Sst Chrna2 Glra3,Sst Myh8 Fibin,Sst Tac2 Tacstd2,Sst Rxfp1 Prdm8,Sst Rxfp1 Eya1,Sst Tac1 Htr1d,Sst Mme Fam114a1,Sst Tac2 Myh4,Sst Chrna2 Ptgdr,Sst Hpse Sema3c,Sst Hpse Cbln4,Sst Esm1,Sst Crhr2 Efemp1,Sst Crh 4930553C11Rik ,Sst Calb2 Pdlim5,Sst Calb2 Necab1,Sst Myh8 Etv1 ,Sst Nr2f2 Necab1,Oligo Serpinb1a,Oligo Rassf10,Oligo Synpr,Astro Aqp4,OPC Pdgfra Grm5,OPC Pdgfra Ccnb1,Microglia Siglech,PVM Mrc1,Endo Ctla2a,Endo Cytl1,VLMC Osr1 Cd74,Peri Kcnj8,SMC Acta2,VLMC Spp1 Hs3st6,VLMC Osr1 Mc5r,VLMC Spp1 Col15a1
RORB,0,0,1.59454854955035,0.918386234446348,0,0,0,0,0,0,0,0,0,0,0,7.55808271646353,8.40832974076739,3.45154083301783,7.76844901518055,7.27835652801072,0,0,3.80373247950171,6.83342951862813,5.5104451528699,7.07471840731431,6.60198988130781,8.19278551354181,7.91036763685726,7.90219420094376,9.43130947059556,0,0,0,0,0,5.47046773695226,0.27500704749987,6.06759569694004,0,0,0,0,0,0.411426245726465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613531652917927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99607798214008,0.495695162624069,0.297274274775177,0,0,0,0,0,0,0,0,0,0
PLD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42268420637821,9.26952010945213,0,0,0,0,0,0,0,0
IQGAP2,0,0,0,6.17652224654896,6.75328361646088,6.5482039039731,6.80290085201948,6.57606857908809,6.10987824625552,6.70210316708897,0,1.06645290600575,0,4.09592441999854,4.67099798669806,6.23527903244572,1.79493566280354,1.28688114778816,7.35499863931907,4.59454854955035,5.48811636544164,5.60656201536759,5.77807448849602,6.12028346098832,5.40530489507332,3.36806564745391,4.21023299009585,0,1.0598440872596,0,0,5.87425686483559,5.01301553583926,6.08102342681769,5.30451104180995,3.92787652400815,0.966030585671712,5.61735726159132,0,0,0,0,6.31697813619716,6.3657894524432,5.84498815668261,4.87960380490019,0.485426827170242,6.37616303700634,6.42063061599993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505890929729957,0,0,1.03862149946623,0.687060688339892,4.02501137558214,1.49302340111308,0,0,0,0,0,0,4.55581615506164,6.38899424941799,7.03831457670264,6.59163061542421,7.04483123344781,6.23056998236872,6.99921081033579,5.66081632514307,0,0,5.8040019151793,0,4.93640237772506,1.48542682717024,0.494787510290454,0,0,6.02579294121556,6.48639259427596,4.61470984411521,5.05093696522523,5.63333272613983,5.80193464627335,3.40735275114004,6.1126847073309,5.20867331962947,5.67623913301512,6.09840641472013,5.93616677797915,5.59245703726808,0,0,0,0,0,1.23624388573137,0,5.54495842421726,0,0,0,0,0,0,0,0
NEUROD6,0,0,0,7.75033852024471,7.06156020910797,5.08252383527297,3.20080158162041,0,0,0,8.93307095959179,8.94725702461049,8.48294570941229,8.85816753846006,8.42170488250281,8.56751804689781,8.43962313755712,9.49689371303021,8.59424994765735,9.35082871062169,9.38199444667115,9.26053118635441,9.61483838007781,9.47548982904167,9.49295126410564,9.50548408085882,9.26118914044548,9.47139069394157,9.42745350233431,9.75842311243033,8.44776391656064,0,6.45762712179055,2.20613672233541,7.48026512205446,7.77415946052993,9.45993785481694,8.28132732965948,9.29273574418819,8.88792122644128,9.23945424541488,8.73287964358681,7.44918389982202,8.35798770680188,8.83967620911548,8.45052796972429,8.40917875950067,7.9037569867689,7.53258298196969,8.70411114053241,0,7.77599939790363,8.6309403167654,8.53814830625965,8.69551675980133,5.68425770505893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205713122863233,0,0,0,0,0,0,0,0,0,0
FEZF2,0,0,7.78992483126367,7.30933992232737,7.44675248456655,7.78832542825356,8.04551395686155,8.37508288536241,8.32424679755559,7.95746791503184,0,0,0,0,0,6.56277631576694,5.61529857909211,0,6.73457414954252,4.35120427725799,4.50745211699024,0,5.36577789165676,6.01111488967584,6.25910059889531,5.38905047758394,5.82920683900235,0,5.7858119805605,5.42054977211632,0,0,0,0,0,0,0,0,8.21198560627522,8.41273919211642,8.38558102279939,8.45673977141935,7.74559704189636,6.48155366728145,5.90977310414164,6.93492777206178,5.88971689161508,7.08767495159737,6.92552472581307,6.70099449416827,4.54689891556504,6.39786006992219,6.24515379161525,6.57698771833236,6.34221707349859,6.3566720442121,6.39437694495706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBLN2,0,0,0,0,7.1814007617393,5.19554412347978,0,0,1.74879340983163,5.77981377829535,5.40871186102943,0,2.22032995487956,5.05398016818765,2.14727361694776,1.97445458128985,0.55581615506164,7.0532199690443,0,5.07510472220949,5.91324369695005,6.77313395920065,2.69114686794108,4.5099037666433,0,0,0,6.3293030136586,0,3.7771566660045,3.8728284234342,5.44504973752274,5.97750890454014,3.45875048817858,4.63226821549951,5.96659093017606,5.69842096438389,6.41396635150775,8.0601554952546,7.06177619758669,6.70024329493428,1.23832045433476,5.16916769008659,6.30080566557872,4.54163873443614,0,0,0,0,0,3.94066222973079,0,0,0,0,0,0,0,6.87939361493821,7.06538698519831,8.43053618373656,7.84278916292887,7.61021282228273,9.04734207256218,6.75502416428738,5.81787792104833,7.29805755156618,0,0,6.40955809966306,8.09465834265454,8.80729051459132,8.56126311526859,7.32255913593758,0,3.48084175824538,4.74362267606765,0.770435207009474,0,0,6.31949684825173,2.67129337248158,6.12035615482789,1.74600348779698,7.18214396660669,5.61235249875266,2.52606881166759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NELL1,0,0.594516912195008,5.50239425611126,7.17312743348066,6.81877388501431,6.78482445898485,5.6913113648849,0,0,7.60212860847292,7.23246889628851,0,0.570454753270831,0,0.232334133501722,3.1049703401451,0.632268215499513,0,7.17112674665207,6.22515922577737,7.38797421339348,6.50541446951213,7.37002475406497,7.19957334428713,6.76266283985745,6.78901189671875,6.71403331541479,6.99208860456269,6.94514133582283,7.32571020751578,7.73842458156631,0,5.00135189299996,0,4.09169983413681,6.90111983697372,5.7191240704909,4.91312876781974,2.68257329734758,0,0,0,0,0.570454753270831,4.66049513188851,0,0,0,0,0,0,0,0,0,0,0,0,7.55872682297507,5.78388002187492,5.45313065404694,0.475084882948783,2.29965889684911,6.70099449416827,6.03804103701151,6.83447093783196,5.339849826973,7.28789503586933,5.72819263549805,6.39143681288011,0,6.78764141448333,0,0.599309936609608,5.05224198118114,0.584962500721156,0.646096386950946,3.38681094647222,0,0,0,0,0,0,9.19090473569252,5.87372726882934,7.09201710754077,7.538227739736,3.48413813120167,1.20190653080829,4.42557795781905,0,3.3533232911629,4.75353378033384,0.545968369105293,4.3634797927866,7.82215652440896,0,0,7.21790994360759,0.604071323668861,0,0,4.06263982828646,0,0,0,0.53605290024021,7.29296575471765,7.80493185566836,6.35860724911781,6.23304440126558,2.97574727312914,0,7.99996273411179,6.07102505720497,0,0,0,0.516015147003665,0,0,0,0.458658587728211,0,0,0,0,0,0,0,0,0,0
CDH9,0,0,0,3.18428029441938,0,0,0,0,0,0,7.09127669436522,6.96883309598194,5.82348886642835,7.40292678058163,7.46576171825036,0,0,4.93404464711225,0,0,7.56701306110568,7.95963427703665,4.89284065973738,0,0,0,0,0,0,0,0,0,0,0,5.17672169288105,4.95501274985074,0,0,0,0,0,0,0,6.72756177171141,6.99435343685886,3.9276859182413,5.41987593042219,4.49667414606379,5.09254351090262,0,0,0,0,0,5.13435824663696,0,0,0,0,0,0,0,0,0,0,0,0,0.505890929729957,0,4.30396251270948,7.84949893172018,0,0,0,6.35579154675365,6.37625297324691,6.61853233397629,1.90850460703563,0,6.0782123400949,6.17521395316469,0,0,7.78699304790962,7.34575164129792,8.49629456229237,0,6.0524593691181,7.01880552853276,4.74171241323976,5.45433358604559,0.622930350920177,0,6.63807383718072,0,0,6.95745033634712,6.80348537559595,8.88327898165017,0,0,8.39461584141089,5.28429202639431,0,6.5248933275723,7.4846215270986,9.52745745721466,8.96834999902592,9.52182194742713,8.11556391523799,8.5158575012579,9.02644012217508,8.41641754324987,7.30451099562392,6.82265953098859,0,4.68481873755322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STXBP6,0,7.7066505156981,0,5.59036248846375,0,8.24482022261811,8.04630521817257,8.09750545581802,3.16337921900951,7.32501302660585,0,0,0,0,0,5.78337048144022,2.03913839390696,0,7.81941272620656,7.29838338558924,7.24388157813629,4.57194106973399,7.59327821140737,7.01908061057158,6.66177437547285,6.3797249188483,4.13010717865883,0.66441823211477,1.77188403218031,4.69655030107857,6.93893211976214,7.22641214132155,7.55589282686783,7.57391200616243,7.32858517678881,7.7742611043605,5.20178959371905,6.57561487761963,0,0,0,7.65984898591186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89384755813292,1.44951045478971,0,0,0,0,0,0,0,0,0,0,6.55634342098216,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40793106492437,6.3571561203844,4.94392132655349,7.51947900230724,6.15583017155653,7.75272635107817,0,7.32071014835309,0,4.49274879203803,4.89287670006069,0,0,0,8.11009175192513,6.38777612952818,6.9469647411558,7.43887500263395,8.31670849545483,7.82158267270679,6.87713072876566,8.21553297933576,7.8720284080717,8.13499096577615,7.15147325657903,7.80169801310383,7.79869859664396,8.16621330614235,7.45438722453328,7.53613062956007,8.15539919445413,8.16208913037777,8.08613622502731,8.67231925755357,6.79701297783614,5.32912359629157,7.62833617186991,0.545968369105293,0,6.98562882248329,0,0,0,6.7209624338807,0,0,0,0,0,0
THSD7A,0,0,3.15218341905505,0,0,0.53605290024021,0,0,0,0,0,0,0,0,0,6.41244964488491,6.73944309777245,0,0,0,0,0,0,1.3044637457606,5.27758683845011,4.42693499602278,6.38560358773147,1.04613755256655,6.74838907311828,1.78659636189081,6.43770681523549,0,0,0,3.81966818349646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67346809013384,8.70958043331771,8.76962406875661,8.50775500517511,7.64322395104439,0.575312330687437,1.23266075679027,0,7.93440813595078,0,1.02856915219677,0,4.17342482902988,8.55531768897566,8.1258267169442,7.85107999406059,5.72628628972067,0.526068811667588,2.20248561179458,0,3.30974318802777,2.47508488294878,0,0,0,3.19070225751685,8.49542154404735,6.25519579007756,8.8193807908646,0,0,5.66221472596729,3.9126470024468,8.29208570401222,4.64154602908752,1.49927829156517,0.584962500721156,0,0,9.51386574071013,9.20023655398531,0,6.18883607303053,5.2861418728343,0.555515656194372,0.594548549550354,4.46008724011683,8.95068606834246,7.72212443691394,4.17871464117544,4.26228280642066,0.766482607966801,7.28419947178059,4.94438996227009,5.55921532750984,2.26002565596146,9.03898039127058,9.42612079070791,6.72832870671163,7.51119918513449,0,5.07638806851284,0.903038270112912,0,6.6908070283889,7.85233535333058,0,0,0,0,0.61325426490434,0,0,0,0,0
CPNE7,0,1.16799883869451,7.54820540503998,0,0,0,0,5.71121955689433,5.69295308841117,6.7310818221479,4.8972404255748,6.06983348400345,6.38628680031278,0,6.14536719972504,5.70027718322266,6.05093696522523,0.978195629681652,3.21412480535285,4.55887985347544,3.69431003836401,0,5.01944482069753,3.95443466847565,4.76572075328691,4.03077740449084,4.64327610860642,0,0,0,0,4.47913250885285,0,2.02972523094455,0,0,0,0,4.60999129521268,6.41903318547102,0,0,0,0,0,0,0,0,0,0,6.68123606764417,0,1.4315331141363,3.14442750154113,0,0,6.44757919654888,7.38646609286931,8.05711066098189,7.39461385104545,7.36027647597497,7.93421786667698,8.04859585533707,7.75508786256111,8.08191339437069,7.74089324007039,8.19752460809924,7.62986657364294,8.10473660584397,8.22452115327521,7.03639343504986,0,6.89244207345465,8.29011102897418,7.92237627095138,8.1983798924893,7.93245099793295,5.3086816155871,7.73057203082246,7.24696860253127,8.13611642172622,7.3527055668799,0,1.92059912099225,5.76411166473745,6.44675248456655,0,0,0,0,0,0,0,0,0,0,0,0,6.00902824671133,0,0,0,0,0,0,0,0,0,0,0,6.20867331962947,0,1.8073549220576,0,0,2.08065766334523,0,0,0,0,0,0,0.297274274775177,0,0,0,0,0,0,0,0,0,0
S100A10,0,6.77468399614724,6.45647762935182,7.36474750602229,3.81249822533356,3.31360350339906,3.70487154023797,0,0,0,5.46793154602629,0,0,0,0,8.38925196756977,8.1264979900833,6.38887833881199,8.01597250797357,7.62109947293531,7.20808523337184,6.85404730775154,7.44205831347689,8.01619403508625,8.02262280058492,7.70614263772925,7.73582676467711,7.74543888048577,8.21907105511986,7.9953149130963,7.92715561133024,4.88992048485087,5.4715126480455,4.96039153436599,5.11811050560737,6.33332361372208,5.69907597938481,4.92742242873987,4.68369645430652,0,5.56177755549515,5.30428746676118,0,6.04776995027535,5.58436125251871,5.94016627213042,4.34269695998193,3.66715452246349,0,6.46907195208039,0,0.510881987145828,4.01564741703788,0.49048790633937,7.6755011593927,0,0,0,0,0,0,0,0,0,0,0,0,5.23916887866545,5.52101553494818,0,5.27686882997646,0,0,0,0,6.334188026035,4.79701297783614,0,0,0,3.80167371085437,0,7.57510070717965,7.08443482239092,7.15268935598323,5.45187047886432,8.74627917123548,0,0,0,0,0,0,0,0,0,0,0,6.45340917316843,0,0,1.11927115713958,0,0,0,0,6.38560359805024,7.05082816059145,4.19469714703984,4.14893410452634,6.25606712524133,4.27127993481187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29278174922785,9.48814419486089,0,0,8.00405188450708,8.66491306610347,7.31388069825135
NR2F2,7.1091403883096,0,0,0,0,0,0,0,0,0,7.03177011416067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0360636887437,8.06003038507312,7.0958794592644,7.31279221689375,6.92682698373945,4.76712507726907,5.48188013962029,4.36142271671447,5.86640735604889,5.10577942281004,3.5197934862411,2.2270879465929,4.24434024518358,7.39600531746942,7.13555539042546,7.09761070048798,4.52042224852645,7.83061027435791,7.86341664070238,8.20310325023664,0,4.65935375917005,6.57780170238459,6.58500608081738,5.39848719001897,5.59035872838055,8.20525562996699,6.11044488548987,8.24017119772579,0,0,0,0,0,0,0,0,0,0,0,0,3.36672055832656,7.04001567884788,7.19229281447077,0,0,0,0,0,6.57606857908809,6.36422222109353,0,0,6.34482849699744,0,0,0,0,6.50541460934675,6.3467796432283,0,0,0,0,0,0,0,0,0,0,6.2997470511995,7.35638966052013,7.95448606138642,4.56498780095989,7.96068103391983,8.4168651936899
PARM1,0,0,6.6207330183521,6.76420813013995,6.8903250848035,6.72246286774079,7.53153552262897,7.13903966768306,7.380936821041,7.18705709764159,0,3.86937581332624,3.35250927493592,0,2.51073986370523,2.84464958026795,0,0,0,0,0,0,0,0.540806161428945,2.94859600608861,0,3.89769516556132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17196814955318,0,0,0,0,0.575312330687437,0,0,0,0,0,0,0,0,0,9.02867964850448,8.74033981110424,5.51682712736325,0,5.78036239636736,2.83794324189103,0,0,7.5891995140032,0,6.9884574728114,1.15502461267569,0,3.19849415363908,0,2.14605588549379,6.59275601044103,8.4023299385598,8.3760350600366,8.73616512723568,0,7.40113551326553,8.19891030142692,7.54237648276506,0,0,4.38354565048076,0,6.08448952493625,3.47248777146274,0,0,6.44310916088578,6.06802569434208,7.71266455717533,4.67466793053966,5.00135189299996,0,0,6.03760186043555,0,5.35384400762741,5.73416766115076,6.51932173462943,0,0.855989697308481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879705766282288,6.16530901559716,0,0,0,0,0,0,0,0.752945464864979,0,7.58095961419633,0,0,0
ST6GALNAC5,0,0,0,7.83995958748953,0,0.952328749952879,5.24482204129518,3.72465027173297,2.84357934709245,0,0,5.77754949027747,3.75647292106963,6.39386233997893,5.22264748736511,5.67252933498262,0,7.48252564076792,7.11113567023471,7.34456222703313,7.30965703797801,7.20388556618486,7.13816702310413,6.93939117345676,6.95197759168998,6.93315950259152,6.92052647276859,6.70244916682069,6.8065797644476,7.1139504824225,0,0,0,0,3.87381319835909,4.45206455033503,5.31760838122085,0,0,0,0,0,4.8765094019293,5.8926787829735,4.09845324630927,6.36483012572259,6.93993176472761,5.97855392358223,4.79308343682579,5.30961277245412,0,0,0,0,6.1073237575672,0,0,0,0,0,0,0,0,0,0,0,0,5.35755200461808,4.265164539575,0.268026450120105,0,0,0,0,0,0,0,0,0,0,0,7.40531168259745,4.17457270667004,0,0,0,0,7.5184564558243,6.99925807121781,5.91647567556431,4.72000268393113,0,6.31404334502748,6.17592374206376,6.6910805978753,6.47945693479402,0,5.03869955130559,8.34140751271233,5.16430358309365,7.25691629667084,7.35167514685816,8.07841770164733,7.54426899048081,5.24716299961344,5.39677601078753,5.55428186262639,0,0,0,7.80535695232786,4.73255400807234,7.69578507476896,0,4.50859267220516,5.43529521564717,7.00101403849448,0,0,0,6.81288323490954,0,0,0,0,0,0,0,0,0,0,0,0
